Wimmer,Spurs,2,£4.5
Janmaat,Watford,43,£4.5
Arbeloa,West Ham,0,£4.5
Elabdellaoui,Hull,14,£4.4
Odubajo,Hull,0,£4.4
Robertson,Hull,74,£4.4
Maguire,Hull,71,£4.4
Wagué,Leicester,0,£4.4
Moreno,Liverpool,14,£4.4
Klavan,Liverpool,43,£4.4
Barragán,Middlesbrough,71,£4.4
O'Shea,Sunderland,46,£4.4
Jones,Sunderland,55,£4.4
Nyom,West Brom,67,£4.4
Evans,West Brom,68,£4.4
Flanagan,Burnley,9,£4.3
Chilwell,Leicester,12,£4.3
Chambers,Middlesbrough,81,£4.3
Fabio,Middlesbrough,56,£4.3
Bernardo,Middlesbrough,35,£4.3
Martina,Southampton,31,£4.3
Bardsley,Stoke,27,£4.3
Manquillo,Sunderland,30,£4.3
Naughton,Swansea,65,£4.3
van der Hoorn,Swansea,16,£4.3
Carter-Vickers,Spurs,0,£4.3
Kaboul,Watford,57,£4.3
Cathcart,Watford,31,£4.3
Prödl,Watford,68,£4.3
Britos,Watford,71,£4.3
Darikwa,Burnley,0,£4.2
Kelly,Crystal Palace,39,£4.2
Dawson,Hull,48,£4.2
Stewart,Liverpool,4,£4.2
Friend,Middlesbrough,57,£4.2
Stephens,Southampton,51,£4.2
Cameron,Stoke,46,£4.2
Koné,Sunderland,67,£4.2
Djilobodji,Sunderland,24,£4.2
McNair,Sunderland,12,£4.2
Fernández,Swansea,56,£4.2
Olsson,Swansea,44,£4.2
Zuñiga,Watford,37,£4.2
Olsson,West Brom,8,£4.2
Collins,West Ham,69,£4.2
Byram,West Ham,27,£4.2
Souaré,Crystal Palace,6,£4.1
Holgate,Everton,52,£4.1
Fosu-Mensah,Man Utd,3,£4.1
Targett,Southampton,6,£4.1
Rangel,Swansea,26,£4.1
Holding,Arsenal,24,£4.0
Cargill,Bournemouth,1,£4.0
Tarkowski,Burnley,21,£4.0
Long,Burnley,1,£4.0
Wynter,Crystal Palace,0,£4.0
Kenny,Everton,1,£4.0
Tymon,Hull,9,£4.0
Benalouane,Leicester,26,£4.0
Tuanzebe,Man Utd,1,£4.0
Fry,Middlesbrough,0,£4.0
Husband,Middlesbrough,0,£4.0
Gardos,Southampton,0,£4.0
Muniesa,Stoke,33,£4.0
Edwards,Stoke,0,£4.0
Josh Robson,Sunderland,0,£4.0
Roberts,Swansea,0,£4.0
Mariappa,Watford,13,£4.0
Eleftheriou,Watford,0,£4.0
Rowan,Watford,0,£4.0
Wilson,West Brom,0,£4.0
Smith,Bournemouth,4,£3.9
Pennington,Everton,9,£3.9
Lenihan,Hull,0,£3.9
Wasilewski,Leicester,1,£3.9
Randall,Liverpool,0,£3.9
Lescott,Sunderland,1,£3.9
Amat,Swansea,21,£3.9
Kingsley,Swansea,28,£3.9
Mason,Watford,1,£3.9
Marc Wilson,West Brom,0,£3.9
Aké,Chelsea,52,£3.8
Love,Sunderland,21,£3.8
Sánchez,Arsenal,228,£11.6
Hazard,Chelsea,210,£10.6
De Bruyne,Man City,175,£10.4
Özil,Arsenal,147,£9.5
Mané,Liverpool,156,£9.3
Martial,Man Utd,86,£9.2
Alli,Spurs,207,£9.2
Mahrez,Leicester,117,£8.9
Eriksen,Spurs,201,£8.9
Mkhitaryan,Man Utd,69,£8.7
Firmino,Liverpool,174,£8.6
Silva,Man City,117,£8.6
Coutinho,Liverpool,142,£8.5
Nolito,Man City,54,£8.4
Pogba,Man Utd,103,£8.2
Sané,Man City,87,£7.7
Ramsey,Arsenal,39,£7.6
Wijnaldum,Liverpool,124,£7.5
Sterling,Man City,147,£7.5
Sigurdsson,Swansea,173,£7.4
Walcott,Arsenal,120,£7.3
Yaya Touré,Man City,73,£7.2
Mata,Man Utd,97,£7.2
Son,Spurs,150,£7.2
Arnautovic,Stoke,112,£7.1
Ayew,West Ham,74,£7.1
Cazorla,Arsenal,38,£7.0
Willian,Chelsea,99,£7.0
Barkley,Everton,132,£7.0
Fàbregas,Chelsea,104,£6.9
Tadic,Southampton,103,£6.9
Pedro,Chelsea,148,£6.8
Nkoudou,Spurs,6,£6.8
Lallana,Liverpool,127,£6.7
Boufal,Southampton,38,£6.7
Antonio,West Ham,132,£6.7
Sissoko,Spurs,41,£6.6
Lamela,Spurs,28,£6.6
Milner,Liverpool,133,£6.4
Herrera,Man Utd,95,£6.4
King,Bournemouth,169,£6.2
Henderson,Liverpool,73,£6.2
Noble,West Ham,71,£6.2
Navas,Man City,46,£6.1
Mirallas,Everton,114,£6.0
Shaqiri,Stoke,76,£6.0
Khazri,Sunderland,31,£6.0
Redmond,Southampton,114,£5.9
Rodriguez,Southampton,59,£5.9
Lanzini,West Ham,130,£5.9
Chamberlain,Arsenal,83,£5.8
Wilshere,Bournemouth,61,£5.8
Zaha,Crystal Palace,139,£5.8
Townsend,Crystal Palace,113,£5.8
Fellaini,Man Utd,45,£5.8
Pereyra,Watford,43,£5.8
Chadli,West Brom,108,£5.8
Success,Watford,28,£5.7
Defour,Burnley,53,£5.6
Cabaye,Crystal Palace,89,£5.6
Bolasie,Everton,45,£5.6
Lingard,Man Utd,54,£5.6
Brady,Burnley,37,£5.5
Moses,Chelsea,100,£5.5
Lennon,Everton,22,£5.5
Grosicki,Hull,40,£5.5
Snodgrass,West Ham,130,£5.5
Afellay,Stoke,15,£5.4
Dembélé,Spurs,72,£5.4
Iwobi,Arsenal,87,£5.3
Hendrick,Burnley,72,£5.3
Sako,Crystal Palace,6,£5.3
Drinkwater,Leicester,69,£5.3
Fernandinho,Man City,66,£5.3
Walters,Stoke,71,£5.3
Januzaj,Sunderland,46,£5.3
Phillips,West Brom,115,£5.3
Töre,West Ham,10,£5.3
Xhaka,Arsenal,78,£5.2
Arfield,Burnley,65,£5.2
Markovic,Hull,37,£5.2
Ramírez,Middlesbrough,59,£5.2
Narsingh,Swansea,20,£5.2
Boyd,Burnley,91,£5.1
Kenedy,Chelsea,1,£5.1
Puncheon,Crystal Palace,85,£5.1
Davis,Southampton,71,£5.1
Cleverley,Watford,48,£5.1
Arter,Bournemouth,81,£5.0
Gradel,Bournemouth,8,£5.0
Loftus-Cheek,Chelsea,6,£5.0
Milivojevic,Crystal Palace,30,£5.0
Lookman,Everton,16,£5.0
Gueye,Everton,76,£5.0
Kapustka,Leicester,0,£5.0
García,Man City,4,£5.0
Young,Man Utd,26,£5.0
Ward-Prowse,Southampton,87,£5.0
Ki Sung-yueng,Swansea,34,£5.0
Montero,Swansea,18,£5.0
Dier,Spurs,87,£5.0
Amrabat,Watford,62,£5.0
Kouyaté,West Ham,79,£5.0
Feghouli,West Ham,46,£5.0
Ibe,Bournemouth,34,£4.9
Henriksen,Hull,20,£4.9
Evandro,Hull,16,£4.9
Albrighton,Leicester,88,£4.9
Gündogan,Man City,41,£4.9
Fischer,Middlesbrough,21,£4.9
Allen,Stoke,115,£4.9
Gudmundsson,Burnley,43,£4.8
Matic,Chelsea,102,£4.8
Gray,Leicester,56,£4.8
Can,Liverpool,98,£4.8
Downing,Middlesbrough,74,£4.8
Traoré,Middlesbrough,52,£4.8
Sobhi,Stoke,33,£4.8
Pienaar,Sunderland,15,£4.8
Ndong,Sunderland,63,£4.8
Fer,Swansea,92,£4.8
Wanyama,Spurs,78,£4.8
McClean,West Brom,50,£4.8
Gosling,Bournemouth,45,£4.7
Kanté,Chelsea,79,£4.7
McArthur,Crystal Palace,87,£4.7
McCarthy,Everton,23,£4.7
Clucas,Hull,79,£4.7
King,Leicester,37,£4.7
Sheyi Ojo,Liverpool,0,£4.7
Delph,Man City,13,£4.7
Fernando,Man City,17,£4.7
Larsson,Sunderland,32,£4.7
Watmore,Sunderland,43,£4.7
Dyer,Swansea,12,£4.7
Livermore,West Brom,71,£4.7
Fernandes,West Ham,32,£4.7
Nordtveit,West Ham,29,£4.7
